BUPR_LECZinSum,County,State,CountyStat,FIPS_5digi
206809.0,California,6,Alameda County,6001
3.0,California,6,Colusa County,6011
53353.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
1501.0,California,6,Humboldt County,6023
48600.0,California,6,Los Angeles County,6037
37329.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
5971.0,California,6,Monterey County,6053
8278.0,California,6,Napa County,6055
61673.0,California,6,Orange County,6059
36565.0,California,6,Sacramento County,6067
35143.0,California,6,San Diego County,6073
31469.0,California,6,San Francisco County,6075
183546.0,California,6,San Joaquin County,6077
1948.0,California,6,San Luis Obispo County,6079
122533.0,California,6,San Mateo County,6081
7914.0,California,6,Santa Barbara County,6083
56273.0,California,6,Santa Clara County,6085
10955.0,California,6,Santa Cruz County,6087
17901.0,California,6,Solano County,6095
11418.0,California,6,Sonoma County,6097
7.0,California,6,Stanislaus County,6099
138.0,California,6,Sutter County,6101
16943.0,California,6,Ventura County,6111
27838.0,California,6,Yolo County,6113
291.0,Oregon,41,Clackamas County,41005
19236.0,Oregon,41,Clatsop County,41007
5480.0,Oregon,41,Columbia County,41009
5778.0,Oregon,41,Coos County,41011
1190.0,Oregon,41,Curry County,41015
1716.0,Oregon,41,Douglas County,41019
1429.0,Oregon,41,Lane County,41039
9024.0,Oregon,41,Lincoln County,41041
10284.0,Oregon,41,Multnomah County,41051
20250.0,Oregon,41,Tillamook County,41057
4973.0,Washington,53,Clallam County,53009
1722.0,Washington,53,Clark County,53011
36020.0,Washington,53,Cowlitz County,53015
31369.0,Washington,53,Grays Harbor County,53027
6483.0,Washington,53,Island County,53029
1811.0,Washington,53,Jefferson County,53031
22468.0,Washington,53,King County,53033
19372.0,Washington,53,Kitsap County,53035
3695.0,Washington,53,Mason County,53045
19809.0,Washington,53,Pacific County,53049
14890.0,Washington,53,Pierce County,53053
1976.0,Washington,53,San Juan County,53055
14982.0,Washington,53,Skagit County,53057
20.0,Washington,53,Skamania County,53059
3754.0,Washington,53,Snohomish County,53061
2992.0,Washington,53,Thurston County,53067
558.0,Washington,53,Wahkiakum County,53069
7919.0,Washington,53,Whatcom County,53073
38750.0,Alabama,1,Baldwin County,1003
5.0,Alabama,1,Clarke County,1025
38737.0,Alabama,1,Mobile County,1097
108.0,Alabama,1,Monroe County,1099
71.0,Alabama,1,Washington County,1129
77215.0,Florida,12,Bay County,12005
257129.0,Florida,12,Brevard County,12009
849548.0,Florida,12,Broward County,12011
164.0,Florida,12,Calhoun County,12013
288390.0,Florida,12,Charlotte County,12015
36514.0,Florida,12,Citrus County,12017
49321.0,Florida,12,Clay County,12019
353728.0,Florida,12,Collier County,12021
4906.0,Florida,12,DeSoto County,12027
17852.0,Florida,12,Dixie County,12029
317380.0,Florida,12,Duval County,12031
41927.0,Florida,12,Escambia County,12033
47374.0,Florida,12,Flagler County,12035
8596.0,Florida,12,Franklin County,12037
2242.0,Florida,12,Gilchrist County,12041
1664.0,Florida,12,Glades County,12043
6409.0,Florida,12,Gulf County,12045
42185.0,Florida,12,Hendry County,12051
12960.0,Florida,12,Hernando County,12053
106.0,Florida,12,Highlands County,12055
164045.0,Florida,12,Hillsborough County,12057
,Florida,12,Holmes County,12059
87007.0,Florida,12,Indian River County,12061
67.0,Florida,12,Jefferson County,12065
,Florida,12,Lafayette County,12067
2484.0,Florida,12,Lake County,12069
16068.0,Florida,12,Lee County,12071
2257.0,Florida,12,Leon County,12073
14025.0,Florida,12,Levy County,12075
31.0,Florida,12,Liberty County,12077
198417.0,Florida,12,Manatee County,12081
410.0,Florida,12,Marion County,12083
108782.0,Florida,12,Martin County,12085
341883.0,Florida,12,Miami0Dade County,12086
30573.0,Florida,12,Monroe County,12087
46367.0,Florida,12,Nassau County,12089
4643.0,Florida,12,Okaloosa County,12091
745.0,Florida,12,Okeechobee County,12093
197.0,Florida,12,Orange County,12095
