BUPR_LECZinSum,County,State,CountyStat,FIPS_5digi
634041.0,California,6,Alameda County,6001
5067.0,California,6,Colusa County,6011
425886.0,California,6,Contra Costa County,6013
4.0,California,6,Del Norte County,6015
10429.0,California,6,Humboldt County,6023
1990829.0,California,6,Los Angeles County,6037
116760.0,California,6,Marin County,6041
2.0,California,6,Mendocino County,6045
79611.0,California,6,Monterey County,6053
67966.0,California,6,Napa County,6055
574299.0,California,6,Orange County,6059
81008.0,California,6,Sacramento County,6067
727168.0,California,6,San Diego County,6073
299973.0,California,6,San Francisco County,6075
151927.0,California,6,San Joaquin County,6077
71019.0,California,6,San Luis Obispo County,6079
273274.0,California,6,San Mateo County,6081
178330.0,California,6,Santa Barbara County,6083
786894.0,California,6,Santa Clara County,6085
151638.0,California,6,Santa Cruz County,6087
94014.0,California,6,Solano County,6095
297240.0,California,6,Sonoma County,6097
272204.0,California,6,Stanislaus County,6099
21023.0,California,6,Sutter County,6101
174526.0,California,6,Ventura County,6111
68858.0,California,6,Yolo County,6113
202938.0,Oregon,41,Clackamas County,41005
16204.0,Oregon,41,Clatsop County,41007
59302.0,Oregon,41,Columbia County,41009
39126.0,Oregon,41,Coos County,41011
15263.0,Oregon,41,Curry County,41015
62153.0,Oregon,41,Douglas County,41019
170789.0,Oregon,41,Lane County,41039
30036.0,Oregon,41,Lincoln County,41041
464853.0,Oregon,41,Multnomah County,41051
27910.0,Oregon,41,Tillamook County,41057
111169.0,Washington,53,Clallam County,53009
222042.0,Washington,53,Clark County,53011
43841.0,Washington,53,Cowlitz County,53015
31120.0,Washington,53,Grays Harbor County,53027
57252.0,Washington,53,Island County,53029
22912.0,Washington,53,Jefferson County,53031
1165920.0,Washington,53,King County,53033
374469.0,Washington,53,Kitsap County,53035
44568.0,Washington,53,Mason County,53045
9015.0,Washington,53,Pacific County,53049
499795.0,Washington,53,Pierce County,53053
17137.0,Washington,53,San Juan County,53055
76659.0,Washington,53,Skagit County,53057
7702.0,Washington,53,Skamania County,53059
167629.0,Washington,53,Snohomish County,53061
151602.0,Washington,53,Thurston County,53067
838.0,Washington,53,Wahkiakum County,53069
110302.0,Washington,53,Whatcom County,53073
90892.0,Alabama,1,Baldwin County,1003
