VL_LECZinSum,County,State,CountyStat,FIPS_5digi
638.0,California,6,Alameda County,6001
47.0,California,6,Colusa County,6011
494.0,California,6,Contra Costa County,6013
,California,6,Del Norte County,6015
28.0,California,6,Humboldt County,6023
771.0,California,6,Los Angeles County,6037
282.0,California,6,Marin County,6041
,California,6,Mendocino County,6045
75.0,California,6,Monterey County,6053
910.0,California,6,Napa County,6055
,California,6,Orange County,6059
24.0,California,6,Sacramento County,6067
328.0,California,6,San Diego County,6073
199.0,California,6,San Francisco County,6075
101.0,California,6,San Joaquin County,6077
814.0,California,6,San Luis Obispo County,6079
350.0,California,6,San Mateo County,6081
195.0,California,6,Santa Barbara County,6083
1103.0,California,6,Santa Clara County,6085
1693.0,California,6,Santa Cruz County,6087
107.0,California,6,Solano County,6095
809.0,California,6,Sonoma County,6097
304.0,California,6,Stanislaus County,6099
13.0,California,6,Sutter County,6101
12.0,California,6,Ventura County,6111
42.0,California,6,Yolo County,6113
1180.0,Oregon,41,Clackamas County,41005
90.0,Oregon,41,Clatsop County,41007
1115.0,Oregon,41,Columbia County,41009
451.0,Oregon,41,Coos County,41011
352.0,Oregon,41,Curry County,41015
796.0,Oregon,41,Douglas County,41019
379.0,Oregon,41,Lane County,41039
338.0,Oregon,41,Lincoln County,41041
3507.0,Oregon,41,Multnomah County,41051
1068.0,Oregon,41,Tillamook County,41057
3113.0,Washington,53,Clallam County,53009
3365.0,Washington,53,Clark County,53011
223.0,Washington,53,Cowlitz County,53015
682.0,Washington,53,Grays Harbor County,53027
1073.0,Washington,53,Island County,53029
380.0,Washington,53,Jefferson County,53031
1643.0,Washington,53,King County,53033
808.0,Washington,53,Kitsap County,53035
576.0,Washington,53,Mason County,53045
70.0,Washington,53,Pacific County,53049
1893.0,Washington,53,Pierce County,53053
428.0,Washington,53,San Juan County,53055
1088.0,Washington,53,Skagit County,53057
71.0,Washington,53,Skamania County,53059
845.0,Washington,53,Snohomish County,53061
1578.0,Washington,53,Thurston County,53067
4.0,Washington,53,Wahkiakum County,53069
996.0,Washington,53,Whatcom County,53073
1333.0,Alabama,1,Baldwin County,1003
570.0,Alabama,1,Clarke County,1025
1895.0,Alabama,1,Mobile County,1097
480.0,Alabama,1,Monroe County,1099
128.0,Alabama,1,Washington County,1129
160.0,Florida,12,Bay County,12005
60.0,Florida,12,Brevard County,12009
12.0,Florida,12,Broward County,12011
58.0,Florida,12,Calhoun County,12013
,Florida,12,Charlotte County,12015
272.0,Florida,12,Citrus County,12017
237.0,Florida,12,Clay County,12019
56.0,Florida,12,Collier County,12021
63.0,Florida,12,DeSoto County,12027
38.0,Florida,12,Dixie County,12029
217.0,Florida,12,Duval County,12031
326.0,Florida,12,Escambia County,12033
9.0,Florida,12,Flagler County,12035
13.0,Florida,12,Franklin County,12037
304.0,Florida,12,Gilchrist County,12041
,Florida,12,Glades County,12043
8.0,Florida,12,Gulf County,12045
150.0,Florida,12,Hendry County,12051
1952.0,Florida,12,Hernando County,12053
492.0,Florida,12,Highlands County,12055
900.0,Florida,12,Hillsborough County,12057
47.0,Florida,12,Holmes County,12059
32.0,Florida,12,Indian River County,12061
95.0,Florida,12,Jefferson County,12065
20.0,Florida,12,Lafayette County,12067
298.0,Florida,12,Lake County,12069
2.0,Florida,12,Lee County,12071
521.0,Florida,12,Leon County,12073
134.0,Florida,12,Levy County,12075
,Florida,12,Liberty County,12077
32.0,Florida,12,Manatee County,12081
1672.0,Florida,12,Marion County,12083
2.0,Florida,12,Martin County,12085
7.0,Florida,12,Miami0Dade County,12086
146.0,Florida,12,Monroe County,12087
64.0,Florida,12,Nassau County,12089
6.0,Florida,12,Okaloosa County,12091
,Florida,12,Okeechobee County,12093
1339.0,Florida,12,Orange County,12095
520.0,Florida,12,Osceola County,12097
51.0,Florida,12,Palm Beach County,12099
1922.0,Florida,12,Pasco County,12101
198.0,Florida,12,Pinellas County,12103
143.0,Florida,12,Putnam County,12107
64.0,Florida,12,St. Johns County,12109
50.0,Florida,12,St. Lucie County,12111
192.0,Florida,12,Santa Rosa County,12113
183.0,Florida,12,Sarasota County,12115
137.0,Florida,12,Seminole County,12117
186.0,Florida,12,Taylor County,12123
254.0,Florida,12,Volusia County,12127
73.0,Florida,12,Wakulla County,12129
5095.0,Florida,12,Walton County,12131
207.0,Florida,12,Washington County,12133
113.0,Georgia,13,Brantley County,13025
301.0,Georgia,13,Bryan County,13029
70.0,Georgia,13,Camden County,13039
160.0,Georgia,13,Charlton County,13049
72.0,Georgia,13,Chatham County,13051
301.0,Georgia,13,Effingham County,13103
16.0,Georgia,13,Glynn County,13127
371.0,Georgia,13,Liberty County,13179
,Georgia,13,Long County,13183
5.0,Georgia,13,McIntosh County,13191
402.0,Georgia,13,Wayne County,13305
19.0,Mississippi,28,George County,28039
84.0,Mississippi,28,Hancock County,28045
358.0,Mississippi,28,Harrison County,28047
103.0,Mississippi,28,Jackson County,28059
632.0,Mississippi,28,Pearl River County,28109
169.0,North Carolina,37,Beaufort County,37013
61.0,North Carolina,37,Bertie County,37015
130.0,North Carolina,37,Bladen County,37017
139.0,North Carolina,37,Brunswick County,37019
,North Carolina,37,Camden County,37029
1.0,North Carolina,37,Carteret County,37031
50.0,North Carolina,37,Chowan County,37041
1215.0,North Carolina,37,Columbus County,37047
81.0,North Carolina,37,Craven County,37049
,North Carolina,37,Currituck County,37053
6.0,North Carolina,37,Dare County,37055
326.0,North Carolina,37,Duplin County,37061
310.0,North Carolina,37,Edgecombe County,37065
126.0,North Carolina,37,Gates County,37073
99.0,North Carolina,37,Greene County,37079
1380.0,North Carolina,37,Halifax County,37083
31.0,North Carolina,37,Hertford County,37091
,North Carolina,37,Hyde County,37095
